model_id,role,metric,observed,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,valid_resamples,n_rows,n_positive,n_negative,n_groups
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260322,step9_clean_minority_regularization_seed,map,0.558299,0.559110,0.067157,0.419344,0.683991,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260322,step9_clean_minority_regularization_seed,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step9_clean_minority_regularization_seed_mean,roc_auc,0.731200,0.729294,0.049661,0.626188,0.822833,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step9_clean_minority_regularization_seed_mean,average_precision,0.557628,0.558447,0.068259,0.418555,0.684497,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step9_clean_minority_regularization_seed_mean,pr_auc,0.557628,0.558447,0.068259,0.418555,0.684497,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step9_clean_minority_regularization_seed_mean,map,0.557628,0.558447,0.068259,0.418555,0.684497,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step9_clean_minority_regularization_seed_mean,mrr,1.000000,0.999700,0.014998,1.000000,1.000000,5000,200,50,150,126
step9_identifier_augmented_lr_l2_100pct_seed_20260320,step9_operational_identifier_seed,roc_auc,0.869467,0.869900,0.034277,0.799073,0.933511,5000,200,50,150,126
step9_identifier_augmented_lr_l2_100pct_seed_20260320,step9_operational_identifier_seed,average_precision,0.789611,0.789314,0.058306,0.661314,0.891406,5000,200,50,150,126
step9_identifier_augmented_lr_l2_100pct_seed_20260320,step9_operational_identifier_seed,pr_auc,0.789611,0.789314,0.058306,0.661314,0.891406,5000,200,50,150,126
step9_identifier_augmented_lr_l2_100pct_seed_20260320,step9_operational_identifier_seed,map,0.789611,0.789314,0.058306,0.661314,0.891406,5000,200,50,150,126
step9_identifier_augmented_lr_l2_100pct_seed_20260320,step9_operational_identifier_seed,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step9_identifier_augmented_lr_l2_100pct_seed_20260321,step9_operational_identifier_seed,roc_auc,0.869467,0.869900,0.034277,0.799073,0.933511,5000,200,50,150,126
step9_identifier_augmented_lr_l2_100pct_seed_20260321,step9_operational_identifier_seed,average_precision,0.789611,0.789314,0.058306,0.661314,0.891406,5000,200,50,150,126
step9_identifier_augmented_lr_l2_100pct_seed_20260321,step9_operational_identifier_seed,pr_auc,0.789611,0.789314,0.058306,0.661314,0.891406,5000,200,50,150,126
step9_identifier_augmented_lr_l2_100pct_seed_20260321,step9_operational_identifier_seed,map,0.789611,0.789314,0.058306,0.661314,0.891406,5000,200,50,150,126
