evidence_uid,source_dataset,pgp_id_raw,alias_raw,alias_normalized,fingerprint_short_raw,fingerprint_raw,fingerprint_short_normalized,fingerprint_raw_normalized,vendor_ids_raw,vendor_id_count,user_hash_raw,review_count_raw,star_rate_raw
3z669jwe|pgp:23094,3z669jwe.sql,23094,secondchapter,secondchapter,0xF337E43CD9CFAE4D,46D25BAAC37676D4BFC26CE6F337E43CD9CFAE4D,0xF337E43CD9CFAE4D,46D25BAAC37676D4BFC26CE6F337E43CD9CFAE4D,"38408,40792",2,,0,0.00
3z669jwe|pgp:23095,3z669jwe.sql,23095,bacano82,bacano82,0x027787755A597F79,8108FD246702DB341959BE44027787755A597F79,0x027787755A597F79,8108FD246702DB341959BE44027787755A597F79,38409,1,,0,0.00
3z669jwe|pgp:23096,3z669jwe.sql,23096,LegendaryGunsshop,legendarygunsshop,0x76496878A3B9AB18,60F60F5E9CADD80F3DD6E19D76496878A3B9AB18,0x76496878A3B9AB18,60F60F5E9CADD80F3DD6E19D76496878A3B9AB18,38410,1,,0,0.00
3z669jwe|pgp:23097,3z669jwe.sql,23097,CanadianLullaby,canadianlullaby,0xB32E9DA33E9901AD,78E6B857B4CBFD68AF8A3BEFB32E9DA33E9901AD,0xB32E9DA33E9901AD,78E6B857B4CBFD68AF8A3BEFB32E9DA33E9901AD,38411,1,,0,0.00
3z669jwe|pgp:23098,3z669jwe.sql,23098,huntelar21,huntelar21,0xB948DD1ABD54923F,F0E4BA6E2B3A1CD0B510D59DB948DD1ABD54923F,0xB948DD1ABD54923F,F0E4BA6E2B3A1CD0B510D59DB948DD1ABD54923F,38412,1,,0,0.00
3z669jwe|pgp:23099,3z669jwe.sql,23099,TheGhostCartel,theghostcartel,0xB7494435A798EE72,83E93368B8C3174CDC244D3BB7494435A798EE72,0xB7494435A798EE72,83E93368B8C3174CDC244D3BB7494435A798EE72,38413,1,,0,0.00
3z669jwe|pgp:23100,3z669jwe.sql,23100,shakali,shakali,0x00B5BAEDCA4B6CC4,86B5835C832AE551BF7C87E000B5BAEDCA4B6CC4,0x00B5BAEDCA4B6CC4,86B5835C832AE551BF7C87E000B5BAEDCA4B6CC4,38415,1,,0,0.00
3z669jwe|pgp:23101,3z669jwe.sql,23101,AusNarcos,ausnarcos,0xB773825B8A4C561B,8D944A03423A32FC585FBB8BB773825B8A4C561B,0xB773825B8A4C561B,8D944A03423A32FC585FBB8BB773825B8A4C561B,"38417,38494",2,,0,0.00
3z669jwe|pgp:23102,3z669jwe.sql,23102,gaussmth,gaussmth,0x58A130D453DC4330,1A57D8D8D42C801DABD3A76C58A130D453DC4330,0x58A130D453DC4330,1A57D8D8D42C801DABD3A76C58A130D453DC4330,"38418,39565",2,,0,0.00
3z669jwe|pgp:23104,3z669jwe.sql,23104,TheStealthMan,thestealthman,0x5E2BAE5047E4B6DE,B8F29C1F25D68A67647F73F55E2BAE5047E4B6DE,0x5E2BAE5047E4B6DE,B8F29C1F25D68A67647F73F55E2BAE5047E4B6DE,"38420,40958",2,e86cb5859b64ea33,1,100.00
3z669jwe|pgp:23105,3z669jwe.sql,23105,You-Will-Be-Impresse,you-will-be-impresse,0xA3939962BEEC4CCD,7AFA6574621B83933E4FF709A3939962BEEC4CCD,0xA3939962BEEC4CCD,7AFA6574621B83933E4FF709A3939962BEEC4CCD,38421,1,,0,0.00
3z669jwe|pgp:23106,3z669jwe.sql,23106,workload1,workload1,0x6CFBA9C2841847AC,F3D4F8021119E1CBA81A2CB96CFBA9C2841847AC,0x6CFBA9C2841847AC,F3D4F8021119E1CBA81A2CB96CFBA9C2841847AC,38422,1,,0,0.00
3z669jwe|pgp:23107,3z669jwe.sql,23107,PINEAPPLES-EXPRESS,pineapples-express,0x8E78D412CAC13892,020C8AC542AFFEF7C17B1F118E78D412CAC13892,0x8E78D412CAC13892,020C8AC542AFFEF7C17B1F118E78D412CAC13892,38423,1,,0,0.00
3z669jwe|pgp:23108,3z669jwe.sql,23108,PrinceOfAsturias,princeofasturias,0x279292878A98E37E,A12771819A6B20E8E19E55E8279292878A98E37E,0x279292878A98E37E,A12771819A6B20E8E19E55E8279292878A98E37E,"38424,40527",2,08b79fa754546672,0,0.00
3z669jwe|pgp:23109,3z669jwe.sql,23109,DrVader,drvader,0xB64356536A0A8603,BFBEFAB28CD7DC9E037C3523B64356536A0A8603,0xB64356536A0A8603,BFBEFAB28CD7DC9E037C3523B64356536A0A8603,38425,1,,0,0.00
3z669jwe|pgp:23110,3z669jwe.sql,23110,hushedbud,hushedbud,0x92ADF56772E969A8,E5E5F63254ED0D537D370FCE92ADF56772E969A8,0x92ADF56772E969A8,E5E5F63254ED0D537D370FCE92ADF56772E969A8,38426,1,,0,0.00
3z669jwe|pgp:23111,3z669jwe.sql,23111,wholesale419,wholesale419,0xE356B928BF9C2162,319BBB10405F2A76A5CEBDAAE356B928BF9C2162,0xE356B928BF9C2162,319BBB10405F2A76A5CEBDAAE356B928BF9C2162,38427,1,,0,0.00
3z669jwe|pgp:23112,3z669jwe.sql,23112,walterhartwellwhite,walterhartwellwhite,0xAE5E8AB3E6F0E61C,6D1B5EB562A0691FCB3B7713AE5E8AB3E6F0E61C,0xAE5E8AB3E6F0E61C,6D1B5EB562A0691FCB3B7713AE5E8AB3E6F0E61C,38100,1,,0,0.00
3z669jwe|pgp:23113,3z669jwe.sql,23113,pantryman227,pantryman227,0xA22683D2A6A7CA19,344F145DEC342864FC2AA735A22683D2A6A7CA19,0xA22683D2A6A7CA19,344F145DEC342864FC2AA735A22683D2A6A7CA19,38428,1,,0,0.00
3z669jwe|pgp:23114,3z669jwe.sql,23114,theghostrider99,theghostrider99,0x31C435B7FB087997,CF3E971242EB9428449D843031C435B7FB087997,0x31C435B7FB087997,CF3E971242EB9428449D843031C435B7FB087997,38429,1,,0,0.00
3z669jwe|pgp:23115,3z669jwe.sql,23115,EU_384918J,eu_384918j,0x3093238373FC4352,DD0168E26F65956B9C638AB93093238373FC4352,0x3093238373FC4352,DD0168E26F65956B9C638AB93093238373FC4352,25530,1,,0,0.00
3z669jwe|pgp:23116,3z669jwe.sql,23116,onlyUK777xs,onlyuk777xs,0x63868708BE73AEB9,6D9B181504A0346FC9751AFD63868708BE73AEB9,0x63868708BE73AEB9,6D9B181504A0346FC9751AFD63868708BE73AEB9,38430,1,,0,0.00
