alias_normalized,from_tijkc3xx_count,from_suspected_strong_count,from_suspected_weak_count,from_suspected_imposter_count,source_presence_count,is_official_benchmark_alias,is_aux_graph_expanded_alias,linked_aux_fingerprint_count,linked_aux_fingerprints
37db,1,0,0,0,1,true,false,2,0x33663B49E62E65A0 || 7961082545346ACB0FCF3E7833663B49E62E65A0
381988,1,0,0,0,1,true,false,0,
3948756,1,0,0,0,1,true,false,2,0xBAC0322E07222BF5 || B8E72F61D5EDC4EA59439F76BAC0322E07222BF5
3cupsoftea,1,0,0,0,1,true,false,2,007A9C708A19CB7E9E967773494976AB0FA958B1 || 0x494976AB0FA958B1
3dames,1,0,0,0,1,true,false,2,0x978C165E6A79D2DF || E0196F294AAF496B2B4E7F63978C165E6A79D2DF
3dollar,1,0,0,0,1,true,false,2,0x58310B9A679252A5 || 786E9A1F2A5E3CE10412504F58310B9A679252A5
3gents,2,0,0,0,1,true,false,2,0x96239DC1FE67789A || 846D3C276F7F849151D6B3AE96239DC1FE67789A
3m,1,0,1,0,2,true,false,0,
3m/moramaru,1,1,1,0,3,true,false,0,
3moramaru,2,0,1,0,2,true,false,2,0xE57635E8919484D2 || 862B9B92128C09FDF9C646D2E57635E8919484D2
3r3b0s,1,0,0,0,1,true,false,2,0x8B4D6F1732C7FB40 || E31A983FA62703EB464968788B4D6F1732C7FB40
3rdgeneration,1,0,0,0,1,true,false,2,0xC82B3EFB1BB94DE7 || 8ED7E980667BCC5EBCB3F433C82B3EFB1BB94DE7
3sidesuk,2,0,0,0,1,true,false,2,0xA6A57E1EB058AC24 || 8F4E7DAFE9201B8F255BE13EA6A57E1EB058AC24
3sisters,1,0,1,0,2,true,false,0,
3wisemonkey,1,0,0,0,1,true,false,2,0x5B29C5B69F83691B || 817D70921CD59E5F753D1A5B5B29C5B69F83691B
40831639,1,0,0,0,1,true,false,2,0x06EDF1CD3ADBD9B4 || A31922A0B9AB792F9929FD1B06EDF1CD3ADBD9B4
420-24-7,1,0,1,0,2,true,false,0,
420-710,1,0,0,0,1,true,false,2,0x2617E71A06289C09 || 995E01F4C2E51C0B56E4BF7D2617E71A06289C09
420-kauppa,1,0,0,0,1,true,false,2,0xAF2DAF1BD32787F5 || 663C17DCEBEC2DF721596CBCAF2DAF1BD32787F5
420.,1,0,0,0,1,true,false,2,0x0ACD98455E10CD93 || 34732F7A3FABE94C741BEFC70ACD98455E10CD93
420aus,1,0,0,0,1,true,false,2,0x8F3B57C110964AC9 || 5E7A49971288DAEEBA16FBF18F3B57C110964AC9
420blazeup,1,0,0,0,1,true,false,2,0xBB00AEF5CC6315C7 || AC188536E54B9A96FE0AE0D9BB00AEF5CC6315C7
420boobookittyfk69,1,0,1,0,2,true,false,0,
420boobookittyfuck69,2,0,1,0,2,true,false,2,02AA5A5C53C497A41C75E027EE23DBB8267261BD || 0xEE23DBB8267261BD
420boobookittyfuck69(2),0,0,2,0,1,true,false,2,0xE3D03C2E993F16B3 || BBCD5985E9CFF2017EB04A6FE3D03C2E993F16B3
420budbroz,1,0,0,0,1,true,false,2,0xE769B8F897F55AB3 || 72BF69723D0BC2ACFAAB0AD4E769B8F897F55AB3
420de,1,1,1,0,3,true,false,2,03C0C1CDC3C1E1542B33172E62C4BDE9F899439D || 0x62C4BDE9F899439D
420dubeuk,2,0,4,0,2,true,false,2,0x5DFDD9C38B8DB59A || 2BFDD0BC064F057776C4356E5DFDD9C38B8DB59A
420edibles,1,0,0,0,1,true,false,2,0x3FB4FCA1A437D0FB || 422B7F34989FEC2D68D40B953FB4FCA1A437D0FB
420express,6,0,0,0,1,true,false,2,0x678EFB1EC67C0AEA || 39E9629491EC46A6C787D0D0678EFB1EC67C0AEA
420farm,1,0,0,0,1,true,false,0,
420fast,1,0,0,0,1,true,false,0,
420ger,1,0,0,0,1,true,false,2,0301409A6E8018B2C91BC9029B1E770CF1AACDE8 || 0x9B1E770CF1AACDE8
420god,1,0,0,0,1,true,false,2,0xB4AC1CEE5238CBED || 2FB278E724710EFF04EB441EB4AC1CEE5238CBED
420greenlife,3,0,0,0,1,true,false,2,0xEF602A907F80637E || 25180F35878E1EDF466C8856EF602A907F80637E
