comparison_role,model_a,model_b,metric,observed_a,observed_b,observed_diff_a_minus_b,diff_bootstrap_mean,diff_ci_lower,diff_ci_upper,bootstrap_sign_p_two_sided,valid_resamples,supports_positive_difference
step15_v3_public_noise_weighted_vs_raw_e5,step15_v3_public_noise_weighted_phase4_seed_mean,raw_e5_cosine,average_precision,0.676713,0.520573,0.156139,0.145948,-0.205495,0.429268,0.332800,5000,no
step15_v3_public_noise_weighted_vs_step9_mixup100,step15_v3_public_noise_weighted_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,roc_auc,0.893557,0.842017,0.051541,0.050656,-0.032052,0.128700,0.182000,5000,no
step15_v3_public_noise_weighted_vs_step9_mixup100,step15_v3_public_noise_weighted_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,average_precision,0.676713,0.588995,0.087717,0.073537,-0.187029,0.272041,0.456800,5000,no
step15_v3_domain_balanced_public_noise_weighted_vs_v2_domain_balanced,step15_v3_domain_balanced_public_noise_weighted_phase4_seed_mean,step15_v2_domain_balanced_phase4_seed_mean,roc_auc,0.904202,0.901401,0.002801,0.006495,-0.022609,0.053923,0.839600,5000,no
step15_v3_domain_balanced_public_noise_weighted_vs_v2_domain_balanced,step15_v3_domain_balanced_public_noise_weighted_phase4_seed_mean,step15_v2_domain_balanced_phase4_seed_mean,average_precision,0.715721,0.714371,0.001350,0.011226,-0.066686,0.130707,0.932400,5000,no
step15_v3_domain_balanced_public_noise_weighted_vs_v2_primary,step15_v3_domain_balanced_public_noise_weighted_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,roc_auc,0.904202,0.889636,0.014566,0.017548,-0.007862,0.058825,0.260000,5000,no
step15_v3_domain_balanced_public_noise_weighted_vs_v2_primary,step15_v3_domain_balanced_public_noise_weighted_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.715721,0.699299,0.016422,0.017888,-0.027978,0.074610,0.459600,5000,no
step15_v3_identifier_public_noise_weighted_vs_v2_identifier,step15_v3_identifier_public_noise_weighted_phase4_seed_mean,step15_v2_identifier_operational_phase4_seed_mean,roc_auc,0.886835,0.882913,0.003922,0.006336,-0.021073,0.054327,0.895600,5000,no
step15_v3_identifier_public_noise_weighted_vs_v2_identifier,step15_v3_identifier_public_noise_weighted_phase4_seed_mean,step15_v2_identifier_operational_phase4_seed_mean,average_precision,0.735422,0.745849,-0.010427,-0.009751,-0.077953,0.060405,0.674800,5000,no
step15_v4_public_noise_robust_vs_v2_primary,step15_v4_public_noise_robust_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,roc_auc,0.890756,0.889636,0.001120,0.001160,-0.033614,0.039310,0.984000,5000,no
step15_v4_public_noise_robust_vs_v2_primary,step15_v4_public_noise_robust_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.710150,0.699299,0.010851,0.008740,-0.040483,0.060043,0.682400,5000,no
step15_v4_public_noise_robust_vs_v3_weighted,step15_v4_public_noise_robust_phase4_seed_mean,step15_v3_public_noise_weighted_phase4_seed_mean,roc_auc,0.890756,0.893557,-0.002801,-0.003928,-0.040816,0.029737,0.802800,5000,no
step15_v4_public_noise_robust_vs_v3_weighted,step15_v4_public_noise_robust_phase4_seed_mean,step15_v3_public_noise_weighted_phase4_seed_mean,average_precision,0.710150,0.676713,0.033437,0.035629,-0.046510,0.194158,0.615600,5000,no
step15_v4_public_noise_robust_vs_raw_e5,step15_v4_public_noise_robust_phase4_seed_mean,raw_e5_cosine,roc_auc,0.890756,0.806723,0.084034,0.087806,-0.050378,0.229181,0.201600,5000,no
step15_v4_public_noise_robust_vs_raw_e5,step15_v4_public_noise_robust_phase4_seed_mean,raw_e5_cosine,average_precision,0.710150,0.520573,0.189577,0.181577,-0.146405,0.455505,0.209200,5000,no
step15_v4_public_noise_robust_vs_step9_mixup100,step15_v4_public_noise_robust_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,roc_auc,0.890756,0.842017,0.048739,0.046727,-0.024497,0.118616,0.176400,5000,no
step15_v4_public_noise_robust_vs_step9_mixup100,step15_v4_public_noise_robust_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,average_precision,0.710150,0.588995,0.121155,0.109166,-0.066683,0.268348,0.193200,5000,no
step15_v4_domain_balanced_public_noise_robust_vs_v2_domain_balanced,step15_v4_domain_balanced_public_noise_robust_phase4_seed_mean,step15_v2_domain_balanced_phase4_seed_mean,roc_auc,0.845938,0.901401,-0.055462,-0.047658,-0.155466,0.054012,0.420800,5000,no
step15_v4_domain_balanced_public_noise_robust_vs_v2_domain_balanced,step15_v4_domain_balanced_public_noise_robust_phase4_seed_mean,step15_v2_domain_balanced_phase4_seed_mean,average_precision,0.582864,0.714371,-0.131507,-0.104859,-0.398774,0.233141,0.498800,5000,no
