step26_split,model_id,slice_name,row_count,positive_count,negative_count,roc_auc,average_precision,pr_auc,mean_score,q95_score,maximum_score,top_positive_budget_intrusion_count
internal_development_test_diagnostic_only,source_only_e5_lr_l2_control,direct_component_positive_plus_all_negatives,172,22,150,0.5581818181818181,0.21759667299255217,0.19349634791210985,,,,
internal_development_test_diagnostic_only,source_only_e5_lr_l2_control,soft_positive_plus_all_negatives,178,28,150,0.7440476190476192,0.33154068805836306,0.3103497078392815,,,,
internal_development_test_diagnostic_only,source_only_e5_lr_l2_control,ordinary_negative,112,0,112,,,,0.20438505039303864,0.46855101213597145,0.6964737545509766,21
internal_development_test_diagnostic_only,source_only_e5_lr_l2_control,public_contact_or_url_noise,6,0,6,,,,0.27833840847402286,0.34009742093937695,0.36263157720373956,1
internal_development_test_diagnostic_only,source_only_e5_lr_l2_control,semantic_topic_not_controller,22,0,22,,,,0.19425490512897003,0.3352406558811357,0.44406155161521826,4
internal_development_test_diagnostic_only,source_only_e5_lr_l2_control,template_clone_not_controller,10,0,10,,,,0.17087463552498733,0.27031932152497484,0.2818370624831121,0
internal_development_test_diagnostic_only,source_only_style_only_lr_l2_control,direct_component_positive_plus_all_negatives,172,22,150,0.7345454545454546,0.3189385754137383,0.2922859429391481,,,,
internal_development_test_diagnostic_only,source_only_style_only_lr_l2_control,soft_positive_plus_all_negatives,178,28,150,0.7666666666666667,0.35949891001806594,0.33687106307725045,,,,
internal_development_test_diagnostic_only,source_only_style_only_lr_l2_control,ordinary_negative,112,0,112,,,,0.10062920114784278,0.30280886681429653,0.4613041410855757,13
internal_development_test_diagnostic_only,source_only_style_only_lr_l2_control,public_contact_or_url_noise,6,0,6,,,,0.33726506212237295,0.3793063288454632,0.38160120427482497,6
internal_development_test_diagnostic_only,source_only_style_only_lr_l2_control,semantic_topic_not_controller,22,0,22,,,,0.14044676396721498,0.3454714215994407,0.37981027886294033,4
internal_development_test_diagnostic_only,source_only_style_only_lr_l2_control,template_clone_not_controller,10,0,10,,,,0.21330030173068795,0.38193680288673093,0.40781092625276005,5
internal_development_test_diagnostic_only,source_only_semantic_style_lr_l2_primary,direct_component_positive_plus_all_negatives,172,22,150,0.7136363636363636,0.31473656809391815,0.28825046509787194,,,,
internal_development_test_diagnostic_only,source_only_semantic_style_lr_l2_primary,soft_positive_plus_all_negatives,178,28,150,0.8038095238095239,0.42318911970922685,0.40014310896252836,,,,
internal_development_test_diagnostic_only,source_only_semantic_style_lr_l2_primary,ordinary_negative,112,0,112,,,,0.10392044958597749,0.3285599449674783,0.7081109437220351,11
internal_development_test_diagnostic_only,source_only_semantic_style_lr_l2_primary,public_contact_or_url_noise,6,0,6,,,,0.32902765478129636,0.3975475013192439,0.41274489848803214,6
internal_development_test_diagnostic_only,source_only_semantic_style_lr_l2_primary,semantic_topic_not_controller,22,0,22,,,,0.12355644088560784,0.30195474858205656,0.4765321386651512,5
internal_development_test_diagnostic_only,source_only_semantic_style_lr_l2_primary,template_clone_not_controller,10,0,10,,,,0.1748398621023737,0.3496933213944249,0.35716364198793904,3
internal_development_test_diagnostic_only,step15_v8_b0,direct_component_positive_plus_all_negatives,172,22,150,0.6648484848484848,0.2700369957116124,0.25654300046482975,,,,
internal_development_test_diagnostic_only,step15_v8_b0,soft_positive_plus_all_negatives,178,28,150,0.6683333333333333,0.396482361883866,0.3909617708963493,,,,
internal_development_test_diagnostic_only,step15_v8_b0,ordinary_negative,112,0,112,,,,0.133113076892375,0.5253361219378498,0.754616073568,21
internal_development_test_diagnostic_only,step15_v8_b0,public_contact_or_url_noise,6,0,6,,,,0.346970929309,0.61203021043175,0.669804326508,4
internal_development_test_diagnostic_only,step15_v8_b0,semantic_topic_not_controller,22,0,22,,,,0.10409957037027272,0.5542981445061498,0.682255957385,3
internal_development_test_diagnostic_only,step15_v8_b0,template_clone_not_controller,10,0,10,,,,0.24978910548099997,0.5591048231819998,0.614536608351,3
